Key,Component,View,Context
Translations reset successfully,Toast notification,Unresolved,"Same legacy, apparently unused I18N action creator (resetDefaultTranslations) with no current call site found."
Translations saved,Toast notification,Settings > Translations,"Success toast after saving edits in the Settings > Translations page; also fired by the site-wide inline ""live translate"" editor available on any page."
Try a different search or clear filters.,Blank-state description,Library,"Supporting text under ""No entities found"" in the card or map results view, suggesting how to get results."
Turn off inline translation,Icon-button aria-label,Header,"Aria-label on the toggle that turns off the site-wide ""live translate"" inline-editing mode from the header's language menu."
"Two categorical dimensions enable stacked bar charts (e.g. country with sex
              breakdown).",Info hint text,Settings > Dataviz editor (Data tab),"Rendered via a literal, line-wrapped `<Translate>` in DataTab.tsx, shown when two categorical dimensions are selected, explaining that this enables stacked bar charts."
Two-Factor Authentication,Card/panel heading,Settings > Account,Title of the 2FA card on the Account page and of the sidepanel that opens to set up 2FA.
Two-factor authentication enabled,Activity log entry description,Settings > Activity Log,"A `desc` value in the ParsedActions lookup table in activitylogParser.ts (for POST /api/auth2fa-enable), surfaced as `semanticData.description` and rendered via `<Translate>{semanticData.description}</Translate>` in TableElements.tsx's DescriptionCell."
Two-factor authentication secret,Activity log entry description,Settings > Activity Log,"A `desc` value in the ParsedActions lookup table in activitylogParser.ts (for POST /api/auth2fa-secret), surfaced as `semanticData.description` and rendered via `<Translate>{semanticData.description}</Translate>` in TableElements.tsx's DescriptionCell."
Two-factor verification failed,Error message,Login,Inline error shown when the entered 2FA code is rejected.
Two-step verification,Section heading,Login,Heading shown above the authentication-code field during the 2FA step of login.
Type,Table column header,Shared (used across 5 views),"Column header labeling a property's data type in the properties table and the matching-properties comparison table, and the label shown above a locked type indicator when editing an existing property."
"Unable to save, failed response",Error notification,Library,Toast shown when saving an entity in the Library fails on the server.
Unauthorized,Error page heading,"Shared (route error boundary, e.g. Settings > Account when the current-user lookup fails)","Constructed as an ApiError title in ServerUsersService.ts's `getCurrent()` (thrown when ctx.user is missing), mapped to RequestError.name via the `error.title` fallback in errorUtils.tsx's `apiErrorToRequestError`, then rendered via `<Translate>{currentError.name}</Translate>` in ErrorFallback.tsx — a dynamic Translate child, not a literal."
Unexpected error,Error page heading / page <title>,Generic error page (/error/500),"The `name` field of the 500 entry in the `handledErrors` lookup object in errorUtils.tsx; looked up by status code and passed through `t('System', error.name, ...)` in GeneralError.tsx, where it becomes the page `<title>` and (via ErrorFallback) its heading."
Uninstall,Button label,Settings > Languages,"Button in each table row that uninstalls that language, hidden for the default language."
Uninstall language,Screen-reader-only table column header,Settings > Languages,Hidden accessible header for the table column holding the uninstall-language button.
Uninstalling language,Background task notification,Settings > Languages,Status message shown while the language-uninstall background task is running.
